Iteration,wt,bias,mse_loss
497,2.0712395,9.001434,19.615152
498,2.0675232,9.015193,19.594849
499,2.063809,9.028944,19.574568
500,2.0600967,9.042687,19.554304
501,2.0563867,9.056422,19.534071
502,2.0526786,9.070149,19.513859
503,2.0489726,9.083869,19.493666
504,2.0452688,9.097581,19.473497
505,2.041567,9.111285,19.453352
506,2.0378675,9.124982,19.43323
507,2.03417,9.138671,19.413126
508,2.0304744,9.152352,19.393045
509,2.026781,9.166026,19.37299
510,2.0230896,9.179692,19.352962
511,2.0194004,9.193351,19.332947
512,2.0157132,9.207002,19.31296
513,2.012028,9.220645,19.29299
514,2.008345,9.234281,19.273045
515,2.0046637,9.247909,19.253128
516,2.0009847,9.261529,19.233227
517,1.9973077,9.275142,19.21335
518,1.9936328,9.288747,19.193495
519,1.98996,9.302344,19.173662
520,1.9862891,9.315934,19.153852
521,1.9826204,9.329516,19.134064
522,1.9789537,9.343091,19.114302
523,1.9752891,9.356658,19.094553
524,1.9716265,9.370217,19.07483
525,1.967966,9.383769,19.055132
526,1.9643075,9.397313,19.035452
527,1.9606512,9.41085,19.015799
528,1.9569968,9.424378,18.996166
529,1.9533446,9.437901,18.976551
530,1.9496943,9.451415,18.956964
531,1.946046,9.464922,18.937391
532,1.9423997,9.478421,18.917845
533,1.9387555,9.491913,18.89832
534,1.9351133,9.505397,18.878819
535,1.9314731,9.518873,18.859339
536,1.927835,9.532342,18.839878
537,1.924199,9.545803,18.820444
538,1.920565,9.559257,18.801025
539,1.9169331,9.572702,18.781635
540,1.9133031,9.586141,18.762266
541,1.9096752,9.599572,18.74291
542,1.9060494,9.612996,18.723583
543,1.9024255,9.626412,18.704273
544,1.8988037,9.639821,18.684988
545,1.8951839,9.653222,18.665724
546,1.8915662,9.6666155,18.64648
547,1.8879503,9.680001,18.627262
548,1.8843366,9.69338,18.608063
549,1.8807248,9.706752,18.588884
550,1.8771151,9.720116,18.569729
551,1.8735075,9.733472,18.550589
552,1.8699018,9.74682,18.53148
553,1.8662981,9.760161,18.512388
554,1.8626965,9.773495,18.493317
555,1.859097,9.786821,18.47427
556,1.8554994,9.80014,18.45524
557,1.8519038,9.813452,18.436235
558,1.8483102,9.826756,18.41725
559,1.8447187,9.840052,18.398287
560,1.8411292,9.853341,18.379337
561,1.8375417,9.866623,18.360416
562,1.8339561,9.879897,18.341518
563,1.8303726,9.893164,18.322641
564,1.826791,9.906423,18.303782
565,1.8232116,9.919675,18.284943
566,1.8196341,9.9329195,18.266127
567,1.8160586,9.9461565,18.247332
568,1.8124851,9.959386,18.228558
569,1.8089137,9.972609,18.209803
570,1.8053442,9.985824,18.191072
571,1.8017766,9.999031,18.17236
572,1.7982112,10.012231,18.153673
573,1.7946477,10.025424,18.135
574,1.7910861,10.0386095,18.11635
575,1.7875265,10.051787,18.097723
576,1.7839689,10.064958,18.079115
577,1.7804134,10.078121,18.060528
578,1.7768599,10.091277,18.041965
579,1.7733083,10.104425,18.023424
580,1.7697587,10.117566,18.0049
581,1.7662112,10.1307,17.986397
582,1.7626656,10.1438265,17.967913
583,1.759122,10.156945,17.949451
584,1.7555804,10.170057,17.93101
585,1.7520407,10.183162,17.912586
586,1.7485031,10.196259,17.894196
587,1.7449673,10.209349,17.87581
588,1.7414336,10.222431,17.857454
589,1.7379019,10.235506,17.839113
590,1.7343721,10.248574,17.820799
591,1.7308444,10.261635,17.802502
592,1.7273185,10.274688,17.784222
593,1.7237947,10.287734,17.765966
594,1.7202728,10.300773,17.747732
595,1.7167528,10.313804,17.729519
596,1.7132349,10.326828,17.71132
597,1.709719,10.339845,17.69315
598,1.7062049,10.352854,17.674995
599,1.7026929,10.365856,17.656858
600,1.6991829,10.378851,17.638746
601,1.6956747,10.391838,17.620653
602,1.6921686,10.404819,17.60258
603,1.6886644,10.417791,17.584528
604,1.6851622,10.4307575,17.566496
605,1.681662,10.443716,17.548483
606,1.6781636,10.456667,17.530489
607,1.6746674,10.469611,17.512516
608,1.671173,10.482548,17.494566
609,1.6676805,10.495478,17.476637
610,1.6641899,10.5084,17.458723
611,1.6607014,10.521315,17.440832
612,1.6572149,10.534223,17.422958
613,1.6537303,10.547123,17.40511
614,1.6502477,10.560017,17.387274
615,1.646767,10.572903,17.369461
616,1.6432883,10.585782,17.351671
617,1.6398114,10.598654,17.3339
618,1.6363364,10.611518,17.316149
619,1.6328635,10.624375,17.298416
620,1.6293926,10.637225,17.280706
621,1.6259236,10.650068,17.26301
622,1.6224566,10.662904,17.24534
623,1.6189915,10.675733,17.227686
624,1.6155282,10.688554,17.210054
625,1.612067,10.701368,17.192434
626,1.6086076,10.714175,17.174845
627,1.6051502,10.726975,17.157269
628,1.6016947,10.739768,17.139719
629,1.5982412,10.752554,17.12218
630,1.5947896,10.765332,17.104668
631,1.59134,10.778104,17.08717
632,1.5878922,10.790868,17.069693
633,1.5844463,10.803625,17.052237
634,1.5810024,10.816375,17.034796
635,1.5775604,10.829118,17.017382
636,1.5741204,10.841853,16.999985
637,1.5706823,10.854582,16.982605
638,1.5672461,10.867303,16.965246
639,1.5638118,10.880017,16.947906
640,1.5603794,10.892724,16.930586
641,1.556949,10.905424,16.913286
642,1.5535206,10.918117,16.896006
643,1.550094,10.930802,16.878744
644,1.5466694,10.9434805,16.8615
645,1.5432467,10.956152,16.844276
646,1.5398259,10.968817,16.827072
647,1.536407,10.981474,16.809887
648,1.53299,10.994124,16.79272
649,1.5295749,11.006767,16.775576
650,1.5261618,11.019403,16.758448
651,1.5227506,11.032032,16.741343
652,1.5193412,11.044654,16.724255
653,1.5159338,11.057269,16.707182
654,1.5125283,11.069877,16.690134
655,1.5091246,11.082478,16.6731
656,1.505723,11.095071,16.656088
657,1.5023233,11.107657,16.639095
658,1.4989253,11.120237,16.62212
659,1.4955293,11.13281,16.605165
660,1.4921352,11.145375,16.588226
661,1.488743,11.157934,16.571314
662,1.4853526,11.1704855,16.55441
663,1.4819642,11.18303,16.537533
664,1.4785777,11.195567,16.52067
665,1.4751931,11.208097,16.503828
666,1.4718105,11.220621,16.487005
667,1.4684297,11.233137,16.470201
668,1.4650508,11.245646,16.453415
669,1.4616737,11.258149,16.43665
670,1.4582986,11.270644,16.419903
671,1.4549253,11.283133,16.403172
672,1.4515541,11.295614,16.386463
673,1.4481846,11.308088,16.36977
674,1.444817,11.320556,16.353096
675,1.4414513,11.333016,16.336443
676,1.4380875,11.345469,16.319807
677,1.4347255,11.357916,16.30319
678,1.4313655,11.370356,16.28659
679,1.4280072,11.382789,16.27001
680,1.4246509,11.395214,16.253448
681,1.4212965,11.407633,16.236906
682,1.4179438,11.420045,16.22038
683,1.4145931,11.432449,16.203876
684,1.4112443,11.444847,16.18739
685,1.4078974,11.457238,16.17092
686,1.4045522,11.469623,16.154469
687,1.401209,11.481999,16.138037
688,1.3978677,11.4943695,16.121622
689,1.3945283,11.506733,16.105228
690,1.3911908,11.51909,16.088848
691,1.3878549,11.531439,16.07249
692,1.384521,11.543781,16.05615
693,1.381189,11.556117,16.039827
694,1.3778589,11.568446,16.023525
695,1.3745306,11.580768,16.007238
696,1.3712041,11.593082,15.990972
697,1.3678796,11.605391,15.974721
698,1.364557,11.617692,15.958488
699,1.3612362,11.629986,15.942276
